,t,avg_velocity
218,218,0.6540695415566993
219,219,0.6650676559718366
220,220,0.6945027724704488
221,221,0.6793016154960096
222,222,0.6337534082689327
223,223,0.6369559741500995
224,224,0.5992004365204359
225,225,0.5977956778785799
226,226,0.5947613975483683
227,227,0.5657878898997626
228,228,0.6071535328919854
229,229,0.6942930682420392
230,230,0.7223589277524032
231,231,0.6948241084630741
232,232,0.6584189578250761
233,233,0.6140359052073361
234,234,0.5979907412765734
235,235,0.6203477573137457
236,236,0.6313960472659076
237,237,0.6825319817677724
238,238,0.6406669875825621
239,239,0.6713002953268017
240,240,0.6358686260871883
241,241,0.6620234826024369
242,242,0.6838849618030024
243,243,0.7029364755048603
244,244,0.7234433671221154
245,245,0.7041458156566864
246,246,0.6897090205162381
247,247,0.6334848500342245
248,248,0.6564166897186161
